individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
Q188232,Didymus the Blind,Q188232,313,Egypt,,"The birth circumstances and family background of Didymus the Blind are not well-documented. There is little to no information available about his parents' occupations, family wealth, access to education due to family background, early life housing and living conditions, or inherited privileges or disadvantages. Most historical accounts begin with his education in Alexandria and his later accomplishments, not his early life or family background. Therefore, it is not possible to classify his social class at birth with reasonable confidence.","The primary sources that mention Didymus the Blind, such as the writings of Jerome, Rufinus, and Palladius, focus on his later life and accomplishments. There are no known sources that provide detailed information about his birth circumstances or family background."
Q168707,Pliny the Younger,Q168707,61,Turkey,Elite,"Pliny the Younger, born as Gaius Plinius Caecilius Secundus, was born into an elite family in the Roman Empire. His father, Lucius Caecilius Cilo, was an equestrian and served as procurator (financial administrator) for the province of Bithynia, indicating a high social standing. His mother, Plinia Marcella, was the sister of Pliny the Elder, a well-known author, natural philosopher, and naval and army commander of the early Roman Empire, suggesting a family of significant status. After his father's death, Pliny was adopted by his uncle, Pliny the Elder, further solidifying his elite status. His family's wealth and standing would have provided him with access to education and comfortable living conditions. His birth and childhood circumstances were characterized by inherited privileges due to his family's elite status.","Pliny's own letters provide a wealth of information about his life and family background. Additional information can be found in historical texts such as ""The Letters of the Younger Pliny"" and ""Pliny: A Life in Roman Letters"" by Betty Radice, as well as ""Pliny the Younger: A Life in Roman Letters"" by Stanley E. Hoffer."
Q313286,Demetrius of Phalerum,Q313286,-349,Egypt,Elite,"Demetrius of Phalerum was born in Phalerum, a region of ancient Athens, not Egypt. He was born into a wealthy and influential family. His father was a man named Phanostratus, a man of noble birth and a member of the Athenian aristocracy. This would have provided Demetrius with a privileged upbringing, including access to education and other opportunities not available to those of lower social classes. His family's wealth and status would have also ensured a comfortable living environment. However, specific details about his early life housing and living conditions are not well-documented.","""Demetrius of Phalerum (Texts, Translations, and Commentary)"" by Douglas S. Harvey and Robert W. Wallace; ""Demetrius of Phalerum: Rhetoric, Civic Education, and the Politics of Cultural Change in Fourth-Century Athens"" by Ian Worthington."
Q41155,Heraclitus,Q41155,-534,Turkey,Elite,"Heraclitus was born into an aristocratic family in the city of Ephesus, which was then part of the Persian Empire. His family was of the ruling class, and his father was named Bloson or, according to some sources, Herakon. It's believed that Heraclitus renounced his royal rights in favor of his brother. This suggests that his family was of significant wealth and status at the time of his birth and during his childhood. The fact that he was able to renounce his royal rights also indicates that he had inherited privileges. His aristocratic birth would have likely given him access to education and a comfortable early life housing and living conditions.","Diogenes Laërtius, Lives of the Eminent Philosophers, IX.1; Charles Kahn, The Art and Thought of Heraclitus. An Edition of the Fragments with Translation and Commentary, Cambridge University Press, 1979."
Q312916,Nonnus of Panopolis,Q312916,500,Egypt,,"The birth circumstances and family background of Nonnus of Panopolis are largely unknown. Nonnus was a Greek poet, best known for his epic Dionysiaca, but there is very little information about his early life, including his family's social standing, wealth, and access to education. His place of birth, Panopolis, was a significant cultural center in Egypt during his lifetime, which might suggest a certain level of affluence or education, but this is purely speculative. Without more specific information about Nonnus's family and early life, it is impossible to classify his social class with any degree of certainty.","The primary source for information about Nonnus is his own work, the Dionysiaca, but this does not provide details about his family background or early life. Secondary sources, such as the Suda, a 10th-century Byzantine encyclopedia, and modern scholarly works on Nonnus also do not provide this information."
Q11903,Hypatia,Q11903,360,Egypt,Elite,"Hypatia was born into a family of considerable social standing. Her father, Theon of Alexandria, was a prominent mathematician and philosopher who was associated with the Museum of Alexandria, a center of learning and scholarship. This suggests that Hypatia's family was part of the intellectual elite of the time. Theon's position would have provided the family with a comfortable living and access to educational resources, which were not widely available to the lower classes. Hypatia's early life would have been spent in an environment of learning and intellectual stimulation, which was a privilege not available to many in the late 300s.","""Hypatia of Alexandria"" by Maria Dzielska, ""The Life of Hypatia"" by Socrates Scholasticus, ""Theon of Alexandria"" by J. L. Heiberg."
Q43706,John Chrysostom,Q43706,349,Turkey,Elite,"John Chrysostom was born into a wealthy Christian family in Antioch, which was a significant city in the Roman Empire. His father, Secundus, was a high-ranking military officer, which suggests a high social standing. After his father's death, his mother, Anthusa, was left a young widow at 20, but managed to maintain the family's wealth and status, indicating their substantial resources. Anthusa was able to provide John with a high-quality education, hiring the best tutors, including the famous pagan rhetorician Libanius. This level of education was typically reserved for the elite class. The family's ability to maintain their wealth and status, even after the death of the primary breadwinner, along with their ability to afford high-quality education, suggests they were part of the elite class.","""John Chrysostom and the Jews: Rhetoric and Reality in the Late 4th Century"" by Robert L. Wilken, ""John Chrysostom"" by J.N.D. Kelly, ""The Oxford Dictionary of the Christian Church"" by F. L. Cross and E. A. Livingstone."
Q200608,Ephrem the Syrian,Q200608,306,Turkey,,"The birth circumstances and family background of Ephrem the Syrian are not well-documented. The primary sources that exist about his life, such as his own writings and the writings of his contemporaries, focus primarily on his theological contributions and do not provide detailed information about his family background or early life. It is known that he was born in Nisibis (now Nusaybin, Turkey) around 306 AD, but the specifics of his family's social standing, wealth, and occupation are not recorded. His access to education and early life housing conditions are also not known. While it is clear that he was well-educated, it is not clear whether this was due to his family's resources or his own merit. Therefore, it is not possible to confidently classify his birth and childhood social class.","""St. Ephraem."" The Catholic Encyclopedia. Vol. 5. New York: Robert Appleton Company, 1909; ""Ephrem the Syrian."" Encyclopædia Britannica, 2021."
Q9372,Sima Qian,Q9372,-144,China,Elite,"Sima Qian was born into a family of high social standing in the Han Dynasty. His father, Sima Tan, was the Grand Historian (Taishi) at the Han court, a position of significant prestige and influence. This role involved recording the events and interpreting the omens of the empire, and it was hereditary, passed down from father to son. The Sima family had held this position for generations, indicating their elite status. Sima Qian's access to education was also a result of his family background. His father personally tutored him in various subjects, including history, astronomy, and the interpretation of dreams and omens, preparing him to eventually take over the role of Grand Historian. The family's wealth and status would have ensured comfortable living conditions and privileges not available to those of lower classes.","""Records of the Grand Historian"" by Sima Qian, ""The Grand Scribe's Records, Volume I: The Basic Annals of Pre-Han China"" by William H. Nienhauser, ""The Letter to Ren An"" by Sima Qian."
Q47739,Zhuangzi,Q47739,-368,China,,"The birth circumstances and family background of Zhuangzi, also known as Zhuang Zhou, are not well-documented. He was born around 369 BC in a place called Meng, which is now in the Henan province of China. However, there is little to no information available about his parents, their occupations, or their social standing. His family wealth at the time of his birth and childhood is also unknown. There is no concrete evidence about his access to education due to his family background. His early life housing and living conditions, as well as any inherited privileges or disadvantages, are also not documented.","The primary source of information about Zhuangzi is the text known as the ""Zhuangzi,"" which he himself is believed to have written. However, this text focuses on his philosophical ideas and does not provide detailed information about his personal life or family background. Other sources include historical texts from the period, but these also do not provide clear information about his early life. Modern scholarly references also do not have this information, as it is not well-documented."
